Feature,Original_Value,Reference_Median,Original_Score,Modified_Score,Score_Change,Absolute_Influence,Anomaly_Index,City
Houses_grounded,150077.0,739.0,236.60677819187504,236.6912400728991,-0.08446188102405472,0.08446188102405472,2,Pune Municipal Corporation
Central_assistance_sanctioned,2593.68,13.48,225.77141911684353,237.28112782009435,-11.509708703250823,11.509708703250823,3,Hyderabad Municipal Corporation
Central_assistance_released,2075.28,10.85,225.77141911684353,236.68848980481377,-10.917070687970238,10.917070687970238,3,Hyderabad Municipal Corporation
Investment,18800.31,41.66,225.77141911684353,234.0020728278548,-8.230653711011257,8.230653711011257,3,Hyderabad Municipal Corporation
Houses_completed,131236.0,647.0,225.77141911684353,219.9765007574406,5.794918359402942,5.794918359402942,3,Hyderabad Municipal Corporation
Houses_sanctioned,150782.0,849.0,225.77141911684353,227.15060380205708,-1.379184685213545,1.379184685213545,3,Hyderabad Municipal Corporation
Houses_grounded,143207.0,739.0,225.77141911684353,225.64952416184516,0.12189495499836767,0.12189495499836767,3,Hyderabad Municipal Corporation
Investment,8799.7,41.66,216.630457686499,231.00952205628118,-14.379064369782185,14.379064369782185,4,Visakhapattnam Municipal Corporation
Central_assistance_sanctioned,2649.17,13.48,216.630457686499,228.16692677596168,-11.536469089462685,11.536469089462685,4,Visakhapattnam Municipal Corporation
Central_assistance_released,2104.86,10.85,216.630457686499,227.6731010875001,-11.0426434010011,11.0426434010011,4,Visakhapattnam Municipal Corporation
Houses_grounded,162171.0,739.0,216.630457686499,211.7435973867573,4.8868602997416986,4.8868602997416986,4,Visakhapattnam Municipal Corporation
Houses_completed,91344.0,647.0,216.630457686499,219.62526034046527,-2.994802653966275,2.994802653966275,4,Visakhapattnam Municipal Corporation
Houses_sanctioned,168961.0,849.0,216.630457686499,213.7368975128595,2.893560173639486,2.893560173639486,4,Visakhapattnam Municipal Corporation
Central_assistance_sanctioned,2454.33,13.48,211.26249744601745,223.4143693465011,-12.151871900483656,12.151871900483656,5,Bengaluru Municipal Corporation
