Country,State,Year,City,"Pradhan Mantri Awas Yojana (Pmay) Investment Amount (UOM:INR(IndianRupees)), Scaling Factor:10000000","Pradhan Mantri Awas Yojana (Pmay) Central Assistance Sanctioned (UOM:INR(IndianRupees)), Scaling Factor:10000000","Pradhan Mantri Awas Yojana (Pmay) Central Assistance Released (UOM:INR(IndianRupees)), Scaling Factor:10000000","Pradhan Mantri Awas Yojana (Pmay) Houses Sanctioned (UOM:Number), Scaling Factor:1","Pradhan Mantri Awas Yojana (Pmay) Houses Grounded (UOM:Number), Scaling Factor:1","Pradhan Mantri Awas Yojana (Pmay) Houses Completed (UOM:Number), Scaling Factor:1"
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Giddaluru, Town Panchayat",202.7800000000000000,50.2500000000000000,33.5600000000000000,3224.0000000000000000,2955.0000000000000000,2341.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025",Godavari Urban Development Authority,323.7200000000000000,155.8200000000000000,101.3200000000000000,10388.0000000000000000,10388.0000000000000000,5502.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Gollaprolu, Town Panchayat",94.3100000000000000,41.3400000000000000,32.2900000000000000,2743.0000000000000000,2484.0000000000000000,1181.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Gooty, Municipality",139.1300000000000000,52.0400000000000000,34.5300000000000000,3456.0000000000000000,3229.0000000000000000,1595.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Gudivada, Municipality",875.9300000000000000,233.2800000000000000,134.4900000000000000,15386.0000000000000000,13213.0000000000000000,10857.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Gudur, Municipality",512.7700000000000000,138.3900000000000000,86.9300000000000000,9206.0000000000000000,8440.0000000000000000,6619.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Gudur, Town Panchayat",95.0600000000000000,35.3400000000000000,11.6500000000000000,2353.0000000000000000,958.0000000000000000,831.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Guntakal, Municipality",424.7300000000000000,130.8000000000000000,97.4800000000000000,8681.0000000000000000,7998.0000000000000000,3994.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Guntur, Municipal Corporation",2823.8400000000000000,707.4200000000000000,554.1400000000000000,44348.000000000000,42806.000000000000,28159.000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Gurajala, Town Panchayat",51.5600000000000000,22.8300000000000000,9.1300000000000000,1522.0000000000000000,1433.0000000000000000,955.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Hindupur, Municipality",465.7100000000000000,139.0900000000000000,155.7100000000000000,9201.0000000000000000,8759.0000000000000000,2425.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Ichchapuram, Municipality",110.1100000000000000,48.0300000000000000,30.1900000000000000,3201.0000000000000000,3042.0000000000000000,1631.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Jaggaiahpet, Municipality",309.1300000000000000,69.8700000000000000,35.7500000000000000,4554.0000000000000000,4367.0000000000000000,3789.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Jammalamadugu, Town Panchayat",242.6400000000000000,73.8500000000000000,49.7300000000000000,4907.0000000000000000,4491.0000000000000000,2984.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Jangareddygudem, Municipality",208.3300000000000000,62.2700000000000000,56.9400000000000000,4041.0000000000000000,3789.0000000000000000,2401.0000000000000000
